(738,985)
(512,693)
(307,703)
(600,689)
(677,881)
(127,579)
(388,315)
(451,955)
(13,244)
(225,148)
(408,361)
(728,141)
(546,904)
(167,150)
(256,804)
(56,950)
(675,459)
(681,734)
(736,224)
(499,971)
(296,514)
(157,926)
(901,450)
(481,234)
(279,560)
(92,438)
(549,940)
(143,196)
(223,101)
(12,355)
(32,23)
(238,522)
(252,220)
(23,696)
(838,596)
(232,319)
(420,946)
(43,234)
(342,891)
(246,810)
(978,129)
(15,367)
(491,533)
(229,633)
(967,622)
(183,702)
(505,684)
(166,961)
(592,203)
(200,501)
(57,469)
(249,385)
(84,169)
(646,714)
(477,16)
(944,425)
(274,737)
(584,571)
(831,309)
(50,732)
(564,861)
(610,503)
(327,809)
(423,871)
(909,907)
(234,493)
(473,75)
(677,496)
(170,316)
(499,142)
(788,457)
(700,180)
(986,604)
(449,74)
(63,753)
(570,646)
(424,909)
(762,547)
(916,668)
(623,944)
(245,720)
(195,505)
(505,918)
(888,550)
(346,32)
(383,687)
(963,998)
(145,79)
(215,623)
(202,592)
(60,622)
(330,824)
(615,845)
(612,231)
(831,175)
(129,488)
(318,495)
(408,989)
(759,882)
(330,200)
(701,886)
(256,103)
(736,721)
(452,130)
(848,34)
(821,272)
(724,195)
(872,28)
(96,989)
(126,950)
(284,218)
(932,350)
(326,90)
(399,484)
(167,826)
(521,361)
(869,714)
(143,520)
(762,540)
(447,153)
(952,336)
(816,622)
(737,801)
(49,458)
(845,314)
(709,511)
(823,138)
(503,413)
(391,782)
(469,475)
(324,897)
(283,313)
(65,811)
(630,545)
(846,883)
(643,171)
(99,814)
(411,344)
(330,734)
(641,526)
(341,961)
(999,732)
(1000,758)
(763,170)
(578,871)
(242,407)
(825,88)
(702,684)
(240,693)
(453,729)
(971,381)
(647,544)
(137,887)
(143,443)
(164,529)
(159,442)
(503,279)
(26,927)
(604,562)
(381,950)
(714,623)
(435,396)
(961,290)
(776,992)
(289,941)
(78,869)
(149,37)
(812,171)
(413,316)
(939,619)
(821,144)
(721,764)
(873,81)
(115,236)
(637,976)
(267,144)
(384,92)
(840,968)
(627,978)
(96,99)
(920,817)
(852,78)
(534,841)
(317,55)
(997,785)
(989,226)
(103,520)
(116,667)
(496,80)
(101,705)
(696,74)
(578,777)
(658,63)
(456,485)
(765,229)
(463,996)
(347,383)
(277,834)
(38,164)
(670,145)
(268,470)
(798,846)
(286,959)
(725,29)
(989,91)
(808,538)
(125,111)
(32,387)
(768,158)
(912,886)
(834,840)
(660,681)
(334,608)
(183,411)
(73,170)
(785,16)
(55,231)
(964,803)
(901,499)
(534,327)
(46,825)
(890,293)
(151,315)
(759,321)
(51,301)
(643,444)
(998,706)
(185,287)
(768,953)
(8,989)
(78,128)
(157,148)
(352,555)
(667,214)
(876,895)
(3,173)
(766,100)
(846,110)
(50,729)
(616,893)
(298,143)
(445,305)
(411,56)
(602,409)
(323,684)
(222,521)
(816,229)
(486,549)
(369,421)
(875,609)
(676,633)
(199,818)
(481,46)
(588,138)
(286,396)
(257,709)
(449,118)
(708,788)
(520,490)
(608,67)
(764,20)
(314,135)
(980,208)
(911,464)
(696,169)
(349,752)
(405,37)
(920,545)
(581,902)
(996,189)
(596,601)
(214,172)
(703,703)
(14,257)
(927,966)
(952,657)
(11,535)
(293,823)
(643,772)
(480,265)
(716,35)
(369,903)
(223,815)
(947,945)
(356,304)
(33,136)
(603,990)
(105,226)
(192,997)
(193,744)
(427,948)
(75,215)
(926,505)
(547,751)
(492,178)
(383,273)
(922,16)
(399,122)
(795,493)
(117,979)
(457,110)
(713,879)
(516,884)
(800,367)
(616,672)
(284,455)
(306,910)
(64,526)
(404,325)
(118,768)
(802,349)
(26,765)
(984,392)
(710,5)
(359,785)
(144,44)
(853,586)
(752,710)
(288,180)
(387,496)
(978,395)
(25,257)
(950,839)
(709,313)
(645,430)
(817,154)
(538,687)
(637,751)
(221,576)
(256,548)
(459,242)
(808,643)
(678,390)
(403,320)
(858,224)
(560,346)
(199,124)
(866,356)
(877,313)
(99,97)
(726,739)
(426,664)
(175,586)
(879,482)
(658,633)
(268,126)
(665,886)
(30,826)
(530,707)
(201,171)
(918,786)
(348,160)
(1,398)
(584,805)
(238,220)
(490,791)
(893,442)
(670,157)
(948,489)
(376,965)
(308,421)
(648,388)
(271,363)
(640,564)
